=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.50%       2.759ms         8.50%      46.959ms       9.816us       0.000us         0.00%       8.394ms       1.755us           0 b           0 b      24.41 Mb           0 b          4784  
                                         aten::_to_copy         1.24%       6.837ms         8.00%      44.201ms      20.463us       0.000us         0.00%       8.394ms       3.886us           0 b           0 b      24.41 Mb           0 b          2160  
                                              aten::add         4.29%      23.698ms         6.94%      38.328ms      12.412us       7.477ms         3.47%       7.477ms       2.421us           0 b           0 b      16.51 Mb      16.51 Mb          3088  
                                            aten::copy_         2.66%      14.700ms         6.36%      35.111ms      13.140us       9.781ms         4.54%       9.782ms       3.661us           0 b           0 b           0 b           0 b          2672  
                                            aten::where         1.25%       6.879ms         5.23%      28.907ms      28.229us       2.287ms         1.06%       5.429ms       5.302us           0 b           0 b       1.51 Mb    -248.00 Kb          1024  
                                                aten::t         2.14%      11.836ms         4.56%      25.205ms       3.509us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7184  
          aten::_scaled_dot_product_efficient_attention         0.55%       3.041ms         3.66%      20.215ms      39.482us       0.000us         0.00%      23.692ms      46.274us       8.00 Kb           0 b       4.00 Mb           0 b           512  
                                        aten::transpose         2.37%      13.097ms         3.60%      19.874ms       1.759us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         11296  
                                              aten::pad         0.12%     685.448us         3.22%      17.773ms      34.713us       0.000us         0.00%       2.287ms       4.466us           0 b           0 b     768.00 Kb           0 b           512  
                                    aten::scalar_tensor         0.43%       2.384ms         3.18%      17.589ms      17.177us       0.000us         0.00%       1.750ms       1.709us           0 b           0 b     512.00 Kb           0 b          1024  
                                  aten::constant_pad_nd         0.43%       2.388ms         3.09%      17.088ms      33.375us       0.000us         0.00%       2.287ms       4.466us           0 b           0 b     768.00 Kb           0 b           512  
                                              aten::cat         1.97%      10.903ms         2.91%      16.091ms      15.472us       6.405ms         2.97%       6.405ms       6.159us           0 b           0 b       8.01 Mb       8.01 Mb          1040  
                                              aten::pow         1.83%      10.101ms         2.85%      15.720ms      15.116us       2.640ms         1.22%       2.640ms       2.538us           0 b           0 b      16.25 Mb      16.25 Mb          1040  
                                             aten::mean         1.88%      10.402ms         2.79%      15.410ms      14.818us       5.274ms         2.45%       5.274ms       5.071us           0 b           0 b     520.00 Kb     520.00 Kb          1040  
                                            aten::fill_         0.98%       5.430ms         2.68%      14.814ms       9.644us       2.647ms         1.23%       2.648ms       1.724us           0 b           0 b           0 b           0 b          1536  
                                      aten::index_copy_         1.41%       7.804ms         2.46%      13.617ms      13.298us       5.136ms         2.38%       5.136ms       5.016us           0 b           0 b           0 b           0 b          1024  
                     aten::_efficient_attention_forward         0.87%       4.830ms         2.43%      13.421ms      26.213us      23.692ms        10.99%      23.692ms      46.274us       8.00 Kb         312 b       4.00 Mb           0 b           512  
                                              aten::neg         1.41%       7.800ms         2.37%      13.117ms      12.809us       4.587ms         2.13%       4.587ms       4.480us           0 b           0 b       4.00 Mb       4.00 Mb          1024  
                                            aten::empty         2.07%      11.428ms         2.07%      11.428ms       2.737us       0.000us         0.00%       0.000us       0.000us       7.82 Kb       7.82 Kb       5.25 Mb       5.25 Mb          4176  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 552.477ms
Self CUDA time total: 215.621ms

